date,bike_rides_daily,temp,month,season,start_station_name,value,rideable_type,ride_duration
2022-06-17,362.0,25.2,6,summer,6 Ave & W 45 St,1,classic_bike,11
2022-06-18,341.0,21.7,6,summer,Jay St & York St,1,electric_bike,13
2022-06-19,298.0,17.3,6,summer,E 39 St & Lexington Ave,1,classic_bike,19
2022-06-20,329.0,20.5,6,summer,Warren St & W Broadway,1,classic_bike,9
2022-06-21,311.0,22.1,6,summer,Lenox Ave & W 117 St,1,electric_bike,7
2022-06-22,303.0,19.1,6,summer,W 39 St & 9 Ave,1,classic_bike,8
2022-06-23,338.0,19.2,6,summer,Allen St & Stanton St,1,classic_bike,1
2022-06-24,401.0,21.9,6,summer,E 14 St & 1 Ave,1,classic_bike,6
2022-06-25,362.0,25.8,6,summer,W 29 St & 9 Ave,1,electric_bike,60
2022-06-26,319.0,27.0,6,summer,Nassau St & Navy St,1,classic_bike,17
2022-06-27,214.0,24.3,6,summer,Riverside Blvd & W 67 St,1,electric_bike,29
2022-06-28,397.0,22.4,6,summer,11 Ave & W 41 St,1,classic_bike,9
2022-06-29,412.0,23.9,6,summer,Fulton St & Adams St,1,classic_bike,19
2022-06-30,343.0,25.4,6,summer,Broadway & E 19 St,1,classic_bike,7
2022-07-01,321.0,28.1,7,summer,3 St & Prospect Park West,1,classic_bike,7
2022-07-02,242.0,28.7,7,summer,W 92 St & Broadway,1,electric_bike,20
2022-07-03,262.0,26.9,7,summer,E 66 St & Madison Ave,1,electric_bike,14
2022-07-04,287.0,25.6,7,summer,Central Park West & W 85 St,1,electric_bike,9
2022-07-05,262.0,25.9,7,summer,Lexington Ave & E 120 St,1,classic_bike,16
2022-07-06,332.0,26.0,7,summer,Putnam Ave & Knickerbocker Ave,1,electric_bike,43
2022-07-07,336.0,24.2,7,summer,W 37 St & Broadway,1,electric_bike,11
2022-07-08,278.0,23.5,7,summer,2 Ave & E 96 St,1,classic_bike,9
2022-07-09,330.0,24.7,7,summer,Lafayette St & Jersey St,1,electric_bike,34
2022-07-10,348.0,23.4,7,summer,Lenox Ave & W 133 St,1,classic_bike,3
2022-07-11,343.0,24.0,7,summer,E 11 St & 3 Ave,1,classic_bike,6
2022-07-12,312.0,25.8,7,summer,Ave A & E 14 St,1,classic_bike,5
2022-07-13,364.0,28.9,7,summer,44 Dr & Jackson Ave,1,electric_bike,14
2022-07-14,371.0,26.6,7,summer,E 14 St & 1 Ave,1,classic_bike,4
2022-07-15,355.0,26.1,7,summer,Madison Ave & E 99 St,1,electric_bike,9
2022-07-16,350.0,24.3,7,summer,Bedford Ave & Bergen St,1,classic_bike,18
2022-07-17,344.0,25.7,7,summer,E 44 St & 2 Ave,1,electric_bike,13
2022-07-18,244.0,26.2,7,summer,37 Ave & 35 St,1,classic_bike,5
2022-07-19,392.0,28.2,7,summer,Forsyth St & Broome St,1,electric_bike,15
2022-07-20,357.0,31.3,7,summer,W 50 St & 9 Ave,1,classic_bike,33
2022-07-21,294.0,29.8,7,summer,Murray St\t& West St,1,classic_bike,15
2022-07-22,350.0,30.9,7,summer,Wadsworth Ave & W 179 St,1,electric_bike,9
2022-07-23,314.0,30.3,7,summer,Ave A & E 11 St,1,electric_bike,14
2022-07-24,308.0,31.1,7,summer,E 182 St & Morris Ave,1,electric_bike,42
2022-07-25,267.0,29.8,7,summer,Broadway & W 58 St,1,classic_bike,6
2022-07-26,345.0,25.9,7,summer,E 16 St & Irving Pl,1,classic_bike,34
2022-07-27,337.0,25.5,7,summer,6 Ave & Broome St,1,classic_bike,7
2022-07-28,352.0,26.7,7,summer,St Nicholas Ave & W 150 St,1,classic_bike,5
2022-07-29,340.0,28.2,7,summer,Kosciuszko St & Tompkins Ave,1,electric_bike,15
2022-07-30,379.0,26.7,7,summer,Allen St & Hester St,1,classic_bike,5
2022-07-31,357.0,26.3,7,summer,E 53 St & Lexington Ave,1,classic_bike,23
